"Dane_Polska" "Dane_wojewodztw" "Roznica_danych"
"gospodarstwa.ogółem.gospodarstwa.2006...." 9187 9187 0
"gospodarstwa.ogółem.gospodarstwa.2007...." 11870 11870 0
"gospodarstwa.ogółem.gospodarstwa.2008...." 14896 14896 0
"gospodarstwa.ogółem.gospodarstwa.2009...." 17091 17091 0
"gospodarstwa.ogółem.gospodarstwa.2010...." 20582 20582 0
"gospodarstwa.ogółem.gospodarstwa.2011...." 23449 23449 0
"gospodarstwa.ogółem.gospodarstwa.2012...." 25944 25944 0
"gospodarstwa.ogółem.gospodarstwa.2013...." 26598 26598 0
"gospodarstwa.ogółem.gospodarstwa.2014...." 24829 24829 0
"gospodarstwa.ogółem.gospodarstwa.2015...." 22277 22277 0
"gospodarstwa.ogółem.gospodarstwa.2016...." 22435 22435 0
"gospodarstwa.ogółem.gospodarstwa.2017...." 20257 20257 0
"gospodarstwa.ogółem.gospodarstwa.2018...." 19207 19207 0
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2006..ha." 228038 228039 -1
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2007..ha." 287529 287530 -1
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2008..ha." 314848 314852 -4
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2009..ha." 367062 367061 1
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2010..ha." 519069 519070 -1
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2011..ha." 605520 605521 -1
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2012..ha." 661688 661686 2
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2013..ha." 669970 669971 -1
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2014..ha." 657902 657902 0
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2015..ha." 580730 580731 -1
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2016..ha." 536579 536577 2
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2017..ha." 494978 494977 1
"gospodarstwa.ogółem.powierzchnia.użytków.rolnych.2018..ha." 484677 484676 1
